ft-MSL,acres,acre-feet
964.5,6136,111041
964.6,6158,111655
964.7,6181,112272
964.8,6204,112892
964.9,6227,113513
965.0,6250,114137
965.1,6274,114763
965.2,6297,115392
965.3,6320,116023
965.4,6344,116656
965.5,6367,117291
965.6,6392,117929
965.7,6416,118570
965.8,6440,119212
965.9,6464,119858
966.0,6487,120505
966.1,6511,121155
966.2,6535,121807
966.3,6558,122462
966.4,6582,123119
966.5,6607,123779
966.6,6631,124440
966.7,6655,125105
966.8,6679,125771
966.9,6702,126441
967.0,6726,127112
967.1,6749,127785
967.2,6772,128462
967.3,6795,129140
967.4,6818,129821
967.5,6842,130504
967.6,6866,131189
967.7,6890,131877
967.8,6914,132567
967.9,6939,133260
968.0,6963,133955
968.1,6988,134652
968.2,7012,135353
968.3,7037,136055
968.4,7061,136760
968.5,7085,137467
968.6,7110,138177
968.7,7134,138889
968.8,7159,139604
968.9,7183,140321
969.0,7208,141040
969.1,7232,141762
969.2,7257,142487
969.3,7281,143214
969.4,7305,143943
969.5,7329,144675
969.6,7353,145409
969.7,7377,146146
969.8,7402,146884
969.9,7427,147626
970.0,7453,148370
970.1,7478,149116
970.2,7504,149866
970.3,7531,150617
970.4,7557,151372
970.5,7585,152129
970.6,7612,152888
970.7,7638,153651
970.8,7666,154416
970.9,7692,155184
971.0,7719,155955
971.1,7745,156728
971.2,7772,157504
971.3,7797,158282
971.4,7823,159063
971.5,7849,159847
971.6,7874,160633
971.7,7900,161422
971.8,7926,162213
971.9,7954,163007
972.0,7981,163804
972.1,8008,164603
972.2,8034,165405
972.3,8060,166210
972.4,8086,167018
972.5,8112,167827
972.6,8139,168640
972.7,8166,169455
972.8,8193,170273
972.9,8220,171094
973.0,8246,171917
973.1,8272,172743
973.2,8298,173572
973.3,8324,174402
973.4,8351,175237
973.5,8377,176073
973.6,8403,176911
973.7,8429,177753
973.8,8456,178597
973.9,8482,179445
974.0,8509,180294
974.1,8536,181146
974.2,8564,182001
974.3,8591,182859
974.4,8620,183720
974.5,8648,184583
974.6,8677,185449
974.7,8705,186318
974.8,8733,187190
974.9,8762,188065
975.0,8790,188942
975.1,8819,189823
975.2,8847,190706
975.3,8876,191592
975.4,8903,192482
975.5,8931,193373
975.6,8959,194267
975.7,8987,195165
975.8,9014,196065
975.9,9041,196968
976.0,9068,197873
976.1,9094,198781
976.2,9121,199692
976.3,9148,200605
976.4,9174,201522
976.5,9201,202440
976.6,9228,203361
976.7,9254,204286
976.8,9281,205212
976.9,9308,206142
977.0,9335,207074
977.1,9362,208009
977.2,9389,208947
977.3,9416,209887
977.4,9443,210830
977.5,9471,211775
977.6,9498,212724
977.7,9525,213675
977.8,9552,214629
977.9,9579,215586
978.0,9606,216545
978.1,9634,217507
978.2,9661,218472
978.3,9689,219439
978.4,9716,220410
978.5,9743,221382
978.6,9770,222358
978.7,9797,223336
978.8,9825,224317
978.9,9853,225302
979.0,9880,226288
979.1,9908,227277
979.2,9936,228270
979.3,9964,229264
979.4,9991,230263
979.5,10019,231263
979.6,10046,232266
979.7,10072,233272
979.8,10099,234280
979.9,10125,235292
980.0,10152,236306
980.1,10179,237322
980.2,10206,238342
980.3,10233,239363
980.4,10260,240388
980.5,10287,241415
980.6,10314,242445
980.7,10341,243478
980.8,10369,244514
980.9,10396,245552
981.0,10423,246593
981.1,10450,247636
981.2,10477,248683
981.3,10504,249732
981.4,10531,250784
981.5,10558,251838
981.6,10586,252895
981.7,10613,253955
981.8,10641,255018
981.9,10670,256084
982.0,10698,257152
982.1,10726,258223
982.2,10753,259297
982.3,10780,260373
982.4,10808,261453
982.5,10836,262535
982.6,10862,263620
982.7,10888,264708
982.8,10914,265798
982.9,10940,266891
