ft-MSL, acres, acre-feet
558.2,2189,58260
558.3,2194,58479
558.4,2198,58699
558.5,2203,58919
558.6,2207,59139
558.7,2212,59360
558.8,2217,59582
558.9,2222,59804
559.0,2227,60026
559.1,2232,60249
559.2,2238,60472
559.3,2244,60696
559.4,2251,60921
559.5,2256,61147
559.6,2262,61372
559.7,2268,61599
559.8,2275,61826
559.9,2281,62054
560.0,2287,62282
560.1,2293,62511
560.2,2298,62741
560.3,2304,62971
560.4,2310,63202
560.5,2315,63433
560.6,2321,63665
560.7,2326,63897
560.8,2331,64130
560.9,2337,64363
561.0,2342,64597
561.1,2348,64832
561.2,2354,65067
561.3,2359,65303
561.4,2365,65539
561.5,2372,65776
561.6,2379,66013
561.7,2387,66251
561.8,2395,66490
561.9,2403,66730
562.0,2410,66971
562.1,2417,67212
562.2,2423,67454
562.3,2430,67697
562.4,2437,67940
562.5,2444,68184
562.6,2451,68429
562.7,2458,68675
562.8,2465,68921
562.9,2472,69168
563.0,2478,69415
563.1,2484,69663
563.2,2490,69912
563.3,2497,70161
563.4,2503,70411
563.5,2510,70662
563.6,2516,70913
563.7,2522,71165
563.8,2528,71418
563.9,2534,71671
564.0,2540,71925
564.1,2546,72179
564.2,2552,72434
564.3,2558,72689
564.4,2565,72946
564.5,2571,73202
564.6,2578,73460
564.7,2584,73718
564.8,2590,73977
564.9,2596,74236
565.0,2602,74496
565.1,2608,74756
565.2,2614,75017
565.3,2620,75279
565.4,2626,75541
565.5,2632,75804
565.6,2638,76068
565.7,2644,76332
565.8,2650,76596
565.9,2655,76862
566.0,2661,77128
566.1,2667,77394
566.2,2672,77661
566.3,2678,77928
566.4,2684,78197
566.5,2689,78465
566.6,2695,78734
566.7,2701,79004
566.8,2707,79275
566.9,2713,79546
567.0,2719,79817
567.1,2725,80089
567.2,2731,80362
567.3,2738,80636
567.4,2746,80910
567.5,2754,81185
567.6,2761,81461
567.7,2769,81737
567.8,2776,82014
567.9,2784,82292
568.0,2792,82571
568.1,2800,82851
568.2,2807,83131
568.3,2815,83412
568.4,2823,83694
568.5,2831,83977
568.6,2838,84260
568.7,2844,84544
568.8,2851,84829
568.9,2858,85115
569.0,2865,85401
569.1,2871,85687
569.2,2878,85975
569.3,2885,86263
569.4,2892,86552
569.5,2899,86842
569.6,2907,87132
569.7,2915,87423
569.8,2923,87715
569.9,2929,88007
570.0,2936,88301
570.1,2943,88595
570.2,2950,88889
570.3,2957,89185
570.4,2965,89481
570.5,2972,89778
570.6,2980,90075
570.7,2988,90374
570.8,2995,90673
570.9,3002,90973
571.0,3010,91273
571.1,3017,91574
571.2,3025,91877
571.3,3032,92179
571.4,3041,92483
571.5,3049,92788
571.6,3057,93093
571.7,3064,93399
571.8,3072,93706
571.9,3080,94013
572.0,3087,94322
572.1,3095,94631
572.2,3102,94941
572.3,3110,95251
572.4,3117,95563
572.5,3125,95875
572.6,3134,96187
572.7,3143,96501
572.8,3153,96816
572.9,3163,97132
573.0,3173,97449
573.1,3183,97766
573.2,3193,98085
573.3,3202,98405
573.4,3211,98726
573.5,3219,99047
573.6,3227,99369
573.7,3236,99693
573.8,3245,100017
573.9,3253,100342
574.0,3262,100667
574.1,3271,100994
574.2,3280,101322
574.3,3289,101650
574.4,3298,101979
574.5,3306,102309
574.6,3315,102640
574.7,3323,102972
574.8,3331,103305
574.9,3340,103639
575.0,3348,103973
575.1,3356,104308
575.2,3364,104644
575.3,3373,104981
575.4,3382,105319
575.5,3391,105657
575.6,3400,105997
575.7,3408,106337
575.8,3417,106679
575.9,3426,107021
576.0,3435,107364
576.1,3443,107708
576.2,3452,108052
576.3,3460,108398
576.4,3469,108745
576.5,3478,109092
576.6,3486,109440
576.7,3495,109789
576.8,3504,110139
576.9,3513,110490
577.0,3523,110842
577.1,3532,111194
577.2,3541,111548
577.3,3550,111903
577.4,3559,112258
577.5,3568,112614
577.6,3579,112972
577.7,3591,113330
577.8,3602,113690
577.9,3612,114051
578.0,3622,114412
578.1,3632,114775
578.2,3642,115139
578.3,3653,115503
578.4,3664,115869
578.5,3675,116236
578.6,3686,116604
578.7,3697,116973
578.8,3709,117344
578.9,3719,117715
579.0,3730,118087
579.1,3740,118461
579.2,3750,118836
579.3,3761,119211
579.4,3771,119588
579.5,3780,119965
579.6,3791,120344
579.7,3801,120723
579.8,3810,121104
579.9,3820,121485
580.0,3829,121868
580.1,3838,122251
580.2,3847,122636
580.3,3856,123021
580.4,3865,123407
580.5,3874,123794
580.6,3883,124181
580.7,3892,124570
580.8,3902,124960
580.9,3912,125351
581.0,3921,125742
581.1,3930,126135
581.2,3938,126528
581.3,3947,126922
581.4,3956,127318
581.5,3964,127714
581.6,3973,128110
581.7,3981,128508
581.8,3990,128907
581.9,3998,129306
582.0,4007,129706
582.1,4016,130107
582.2,4024,130509
582.3,4033,130912
582.4,4041,131316
582.5,4049,131720
582.6,4058,132126
582.7,4066,132532
582.8,4075,132939
582.9,4083,133347
583.0,4091,133756
583.1,4099,134165
583.2,4107,134575
583.3,4114,134986
583.4,4122,135398
583.5,4129,135811
583.6,4137,136224
583.7,4144,136638
583.8,4152,137053
583.9,4159,137469
584.0,4166,137885
584.1,4174,138302
584.2,4181,138720
584.3,4188,139138
584.4,4195,139557
584.5,4203,139977
584.6,4210,140398
584.7,4217,140819
584.8,4224,141241
584.9,4231,141664
585.0,4238,142087
585.1,4246,142511
585.2,4253,142937
585.3,4260,143362
585.4,4267,143789
585.5,4274,144215
585.6,4281,144643
585.7,4289,145072
585.8,4296,145501
585.9,4303,145931
586.0,4311,146362
586.1,4318,146793
586.2,4325,147225
586.3,4333,147658
586.4,4340,148092
586.5,4348,148526
586.6,4355,148961
586.7,4362,149397
586.8,4370,149834
586.9,4377,150271
587.0,4384,150709
587.1,4392,151148
587.2,4399,151588
587.3,4407,152028
587.4,4415,152469
587.5,4423,152911
587.6,4431,153353
587.7,4439,153797
587.8,4447,154241
587.9,4456,154686
588.0,4466,155132
588.1,4476,155579
588.2,4486,156028
588.3,4496,156477
588.4,4506,156927
588.5,4517,157378
588.6,4528,157830
588.7,4539,158284
588.8,4550,158738
588.9,4561,159194
589.0,4572,159650
589.1,4584,160108
589.2,4595,160567
589.3,4607,161027
589.4,4619,161488
589.5,4630,161951
589.6,4641,162414
589.7,4651,162879
589.8,4662,163344
589.9,4672,163811
590.0,4683,164279
590.1,4695,164748
590.2,4706,165218
590.3,4718,165689
590.4,4730,166162
590.5,4742,166635
590.6,4753,167110
590.7,4764,167586
590.8,4774,168063
590.9,4784,168541
591.0,4793,169019
591.1,4802,169499
591.2,4811,169980
591.3,4820,170461
591.4,4828,170944
591.5,4837,171427
591.6,4845,171911
591.7,4854,172396
591.8,4862,172882
591.9,4871,173368
592.0,4879,173856
592.1,4887,174344
592.2,4896,174833
592.3,4904,175323
592.4,4912,175814
592.5,4921,176306
592.6,4929,176798
592.7,4937,177291
592.8,4945,177785
592.9,4953,178280
593.0,4961,178776
593.1,4969,179272
593.2,4977,179770
593.3,4985,180268
593.4,4993,180767
593.5,5001,181267
593.6,5009,181767
593.7,5017,182268
593.8,5025,182770
593.9,5033,183273
594.0,5041,183777
594.1,5049,184281
594.2,5056,184787
594.3,5064,185293
594.4,5072,185800
594.5,5079,186307
594.6,5087,186815
594.7,5095,187324
594.8,5103,187834
594.9,5110,188345
595.0,5118,188856
595.1,5126,189368
595.2,5134,189882
595.3,5142,190395
595.4,5150,190910
595.5,5159,191425
595.6,5167,191941
595.7,5175,192459
595.8,5184,192977
595.9,5192,193496
596.0,5201,194015
596.1,5209,194535
596.2,5218,195057
596.3,5226,195579
596.4,5234,196102
596.5,5243,196626
596.6,5251,197151
596.7,5259,197676
596.8,5267,198203
596.9,5276,198730
597.0,5284,199258
597.1,5293,199786
597.2,5301,200316
597.3,5310,200847
597.4,5318,201378
597.5,5326,201910
597.6,5335,202443
597.7,5344,202977
597.8,5353,203512
597.9,5363,204048
598.0,5373,204585
598.1,5382,205122
598.2,5391,205661
598.3,5400,206201
598.4,5410,206741
598.5,5419,207283
598.6,5429,207825
598.7,5439,208369
598.8,5449,208913
598.9,5459,209458
599.0,5468,210005
599.1,5477,210552
599.2,5486,211100
599.3,5495,211649
599.4,5504,212199
599.5,5513,212750
599.6,5522,213301
599.7,5531,213854
599.8,5541,214408
599.9,5550,214963
600.0,5559,215518
600.1,5569,216074
600.2,5579,216632
600.3,5589,217190
600.4,5599,217750
600.5,5609,218310
600.6,5619,218871
600.7,5630,219434
600.8,5640,219997
600.9,5649,220562
601.0,5659,221127
601.1,5668,221693
601.2,5677,222261
601.3,5687,222829
601.4,5696,223398
601.5,5706,223968
601.6,5715,224539
601.7,5725,225111
601.8,5735,225684
601.9,5744,226258
602.0,5754,226833
602.1,5763,227409
602.2,5773,227986
602.3,5783,228563
602.4,5793,229142
602.5,5804,229722
602.6,5816,230303
602.7,5830,230885
602.8,5843,231469
602.9,5858,232054
603.0,5871,232640
603.1,5884,233228
603.2,5896,233817
603.3,5907,234407
603.4,5919,234999
